Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Al_wt%,Ti_wt%,V_wt%,Cr_wt%,Mn_wt%,Fe_wt%,Ni_wt%,Cu_wt%,Nb_wt%,Mo_wt%,Liquidus,Term. Temp,Peak Cracking Index,Num. Sim. Steps,Vol. Frac At Term. BCC_B2,Start Temp. BCC_B2,Vol. Frac At Term. BCC_B2#2,Start Temp. BCC_B2#2,Vol. Frac At Term. C14_LAVES,Start Temp. C14_LAVES,Vol. Frac At Term. CR3SI_A15,Start Temp. CR3SI_A15,Vol. Frac At Term. FCC_L12,Start Temp. FCC_L12,Vol. Frac At Term. HEUSLER_L21,Start Temp. HEUSLER_L21,Vol. Frac At Term. MU_PHASE,Start Temp. MU_PHASE,Vol. Frac At Term. SIGMA,Start Temp. SIGMA
11,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,5.7115654509357,7.8808445302458,8.38711392106842,8.56064495779265,9.04501716845936,9.19434605869549,9.66324206684599,10.4622421818581,15.2960858613871,15.7988978027114,1570.96,712.465,107402.993911264,883,0.744289174891254,1570.96,0.0245134151965129,712.497,0.114813815283679,1320.86,0.000115814219755205,844.84,0.0649868758212536,827.05,0.0512809047883695,983.58,0,0,0,0
12,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,6.33184579121768,7.82900007073909,8.33193894757538,8.50432840324545,8.98551415142508,9.13386067542199,9.59967203191948,10.3934158918501,15.1954599321471,15.6949641044587,1564.83,746.13,18262.6111328481,842,0.838512498023084,1564.83,0.0137882636535451,931.75,0.103011361341777,1325.81,5.55831672607264e-05,880.37,0.044632293910643,824.11,0,0,0,0,0,0
13,15,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,6.96190235493071,7.77633849196084,8.27589436266048,8.44712424484501,8.92507330877943,9.0724219834866,9.53510007121102,10.323504832351,15.0932480400717,15.5893923097032,1558.46,745.02,87513.0046929488,843,0.849074412405063,1558.46,0.0190190512300497,945.86,0.0958693050827398,1330.5,0.000240276656755098,964.9,0.0357969546253274,810.29,0,0,0,0,0,0
14,16.25,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,7.60196810139032,7.7228403226349,8.21895944420305,8.38901133172592,8.86367229291404,9.01000726633267,9.46950230965823,10.2524831542014,14.9894123929788,15.4821433839607,1551.83,756.41,138053.542637084,831,0.844956903629946,1551.83,0.040763992184387,958.91,0.0914015880325189,1334.7,0.000276120943454082,978.35,0.020165335315697,797.56,0,0,0.000168723762093367,1001.45,0,0
15,17.5,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,8.25228345305325,7.66848546769858,8.16111280622351,8.32996783542848,8.80128804028714,8.94659307965043,9.40285410733141,10.1803241801319,14.8839139879667,15.3731770422286,1544.94,758.63,129518.709844031,814,0.880733107399285,1544.94,0.0157118296584562,962.67,0.0877651747293321,1338.37,0.000513433745164004,1001.7,0.00560167080116615,785.09,0,0,0,0,0,0
16,18.75,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,8.91309659229766,7.61325318349707,8.10233237248434,8.26997122295347,8.73789674295364,8.88215522243704,9.33513002901777,10.1070003718325,14.7767125632686,15.2624516992579,1538.58,722.151,107561.347575194,842,0.898254351629993,1538.58,0.0147103362056086,1341.59,0.0856145004570138,1341.59,0.000692584051647088,1019.45,0,0,0.000626787474864821,734.92,0,0,0,0
17,20,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,9.58466378003147,7.55712205115347,8.04259534814925,8.20899822783496,8.67347381800132,8.81666870592821,9.26630381156853,10.0324832945996,14.6677665465658,15.1499244161674,1530.34,729.79,9364.92487068472,822,0.860696897242461,1530.34,0.0453525592712258,976.77,0.0828976542735489,1344.15,0.000882201503421926,1036.12,0,0,0.000313302704236915,738.13,0,0,0,0
18,21.25,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,10.267249686349,7.50006994893168,7.98187819037078,8.14702482011933,8.60799387583113,8.75010772135479,9.19634833001123,9.95674358064664,14.5570330013464,15.0355508450391,1522.62,778.34,69649.227393276,782,0.897076485901708,1522.62,0.0117744446042786,1346.52,0.0801495665966058,1346.52,0.00101363537179731,1046.63,0,0,0,0,0,0,0,0
19,22.5,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,10.9611277383177,7.44207402316764,7.92015657735404,8.08402617478899,8.54143068679432,8.68244560602914,9.12523556190649,9.87975089051352,14.4444675704852,14.919285170643,1514.59,775.98,69956.0568362903,764,0.901453935704846,1514.59,0.00905172193333834,1347.7,0.0784802019793307,1347.7,0.00120553950871019,1060.16,0,0,0,0,0,0,0,0
20,23.75,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,11.6665804851698,7.38311065774573,7.85740537587238,8.01997663860587,8.47375714615988,8.61365480773415,9.05293654992104,9.80147387254498,14.3300244169997,14.8010800492465,1506.27,804.81,63693.782807398,723,0.851194445626221,1506.27,0.0613344054105881,978.91,0.0761902551751246,1349.17,0.00131247657716469,1067.94,0,0,0,0,0,0,0,0
21,25,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,12.3838999819223,7.32315544203496,7.79359860714365,7.95484969528171,8.40494523731415,8.54370684731532,8.97942136251192,9.7218801203241,14.2136561618171,14.6808865443348,1497.65,823.4,61027.305317791,702,0.847645808191323,1497.55,0.0670546386568758,979.61,0.0742595616460045,1349.04,0.00150270574840917,1078.64,0,0,0,0,0,0,0,0
22,26.25,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,13.113388192521,7.26218313719322,7.72870941096991,7.88861792887581,8.33496599308753,8.47257227936898,8.90465905260997,9.6409361279395,14.0953138183733,14.5586540590608,1488.71,840.11,42079.1558406193,668,0.845691514231171,1488.71,0.0709015337447803,974.71,0.072069206399536,1348.82,0.00161559534625291,1084.12,0,0,0,0,0,0,0,0
23,27.5,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,13.8553574121956,7.20016764086593,7.6627100081683,7.82125298544853,8.26378945523832,8.40022065105726,8.82861761433439,9.55860724312086,13.9749467240957,14.4343302654751,1479.49,853.1,30661.9624720186,647,0.843665868041651,1479.49,0.0740756572204728,962.87,0.0704952037530087,1348.4,0.00190293276278788,1091.9,0,0,0,0,0,0,0,0
24,28.75,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,14.6101307190701,7.13708194943935,7.59557166039943,7.75272553205859,8.19138463112999,8.32662045807008,8.75126393670888,9.47485761712815,13.8525024671405,14.307861028855,1469.97,861.05,47393.6862830711,631,0.911049468936433,1469.97,0,0,0.073487790817472,1346.65,0.00217294022447365,1099.62,0,0,0,0,0,0,0,0
25,30,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,15.3780424346105,7.07289811955533,7.52726462920984,7.68300521495809,8.11771944956088,8.25173909972564,8.67256375647232,9.38965015366041,13.7279268116951,14.1791903305519,1460.17,867.88,55778.6795445146,613,0.912930595891095,1460.17,0,0,0.0696739168053537,1344.66,0.0020887670258896,1100.15,0,0,0,0,0,0,0,0
26,31.25,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,16.1594386230426,7.00758722636879,7.45775813160797,7.61206061424931,8.04276071285538,8.17554283027065,8.59248160689543,9.30294645344039,13.6011636169599,14.0482601843096,1450.1,870.08,41686.2276690123,614,0.915205359089567,1450.1,0,0,0.0656518047150854,1342.08,0.00197775963338789,1099.96,0,0,0,0,0,0,1.83111502777478e-05,882.49
27,32.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,16.9546776099708,6.9411193202004,7.38702029393212,7.53985919679821,7.96647404711325,8.09799670830826,8.51098076462954,9.21470675666858,13.4721547530144,13.9150105493645,1439.76,870.48,43333.901438482,593,0.914272434882425,1439.76,0,0,0.0617180177409734,1339.67,0.00204067576698991,1103.58,0,0,0,0,0,0,9.30954128195756e-06,885.64
28,33.75,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,17.7641305302718,6.87346338074236,7.3150181031144,7.46636726649006,7.88882384965056,8.01906454337136,8.42802319355529,9.12488988222896,13.3408400119341,13.7793792386412,1429.19,866.88,41963.4513325197,586,0.91672965031812,1429.19,0,0,0.0564717672106113,1336.09,0.00190033815606001,1100.82,0,0,0,0,0,0,0,0
29,35,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,18.5881819056311,6.80458726878652,7.24171735530789,7.39154991179359,7.80977323359713,7.93870883960522,8.34356948559314,9.03345316360557,13.2071570140991,13.6413018219808,1419.19,862.89,3331.36256247931,566,0.915353872482613,1419.19,0,0,0.0519979796088516,1331.2,0.00188306641739628,1102.37,0,0,0,0,0,0,0,0
